"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","algorithm"
"Class: AFF",0.923,0.976,0.932,0.973,0.932,0.923,0.928,0.261,0.241,0.258,0.95,"knn_with_k_1"
"Class: ARR",0.966,1,1,0.986,1,0.966,0.982,0.291,0.281,0.281,0.983,"knn_with_k_1"
"Class: CHF",0.944,0.977,0.924,0.984,0.924,0.944,0.934,0.226,0.213,0.231,0.961,"knn_with_k_1"
"Class: NSR",1,0.99,0.967,1,0.967,1,0.983,0.223,0.223,0.231,0.995,"knn_with_k_1"
"Class: AFF1",0.885,0.98,0.939,0.96,0.939,0.885,0.911,0.261,0.231,0.246,0.932,"knn_with_k_3"
"Class: ARR1",0.983,0.996,0.991,0.993,0.991,0.983,0.987,0.291,0.286,0.288,0.99,"knn_with_k_3"
"Class: CHF1",0.956,0.964,0.887,0.987,0.887,0.956,0.92,0.226,0.216,0.243,0.96,"knn_with_k_3"
"Class: NSR1",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"knn_with_k_3"
"Class: AFF2",0.837,0.983,0.946,0.945,0.946,0.837,0.888,0.261,0.218,0.231,0.91,"knn_with_k_5"
"Class: ARR2",0.974,0.996,0.991,0.989,0.991,0.974,0.983,0.291,0.283,0.286,0.985,"knn_with_k_5"
"Class: CHF2",0.967,0.945,0.837,0.99,0.837,0.967,0.897,0.226,0.218,0.261,0.956,"knn_with_k_5"
"Class: NSR2",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"knn_with_k_5"
"Class: AFF3",0.856,0.986,0.957,0.951,0.957,0.856,0.904,0.261,0.223,0.233,0.921,"knn_with_k_7"
"Class: ARR3",0.991,0.996,0.991,0.996,0.991,0.991,0.991,0.291,0.288,0.291,0.994,"knn_with_k_7"
"Class: CHF3",0.956,0.951,0.851,0.987,0.851,0.956,0.901,0.226,0.216,0.253,0.954,"knn_with_k_7"
"Class: NSR3",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"knn_with_k_7"
"Class: AFF4",0.856,0.912,0.774,0.947,0.774,0.856,0.813,0.261,0.223,0.288,0.884,"naive_bayes_no_laplace"
"Class: ARR4",0.914,0.982,0.955,0.965,0.955,0.914,0.934,0.291,0.266,0.278,0.948,"naive_bayes_no_laplace"
"Class: CHF4",0.822,0.968,0.881,0.949,0.881,0.822,0.851,0.226,0.185,0.211,0.895,"naive_bayes_no_laplace"
"Class: NSR4",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"naive_bayes_no_laplace"
"Class: AFF5",0.856,0.912,0.774,0.947,0.774,0.856,0.813,0.261,0.223,0.288,0.884,"naive_bayes_w_laplace"
"Class: ARR5",0.914,0.982,0.955,0.965,0.955,0.914,0.934,0.291,0.266,0.278,0.948,"naive_bayes_w_laplace"
"Class: CHF5",0.822,0.968,0.881,0.949,0.881,0.822,0.851,0.226,0.185,0.211,0.895,"naive_bayes_w_laplace"
"Class: NSR5",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"naive_bayes_w_laplace"
"Class: AFF6",0.913,0.986,0.96,0.97,0.96,0.913,0.936,0.261,0.238,0.248,0.95,"svm_lineal"
"Class: ARR6",1,0.996,0.991,1,0.991,1,0.996,0.291,0.291,0.293,0.998,"svm_lineal"
"Class: CHF6",0.956,0.974,0.915,0.987,0.915,0.956,0.935,0.226,0.216,0.236,0.965,"svm_lineal"
"Class: NSR6",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"svm_lineal"
"Class: AFF7",0.885,0.98,0.939,0.96,0.939,0.885,0.911,0.261,0.231,0.246,0.932,"svm_rbf"
"Class: ARR7",1,0.996,0.991,1,0.991,1,0.996,0.291,0.291,0.293,0.998,"svm_rbf"
"Class: CHF7",0.933,0.964,0.884,0.98,0.884,0.933,0.908,0.226,0.211,0.238,0.949,"svm_rbf"
"Class: NSR7",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"svm_rbf"
"Class: AFF8",0.913,0.99,0.969,0.97,0.969,0.913,0.941,0.261,0.238,0.246,0.952,"tree_no_boost"
"Class: ARR8",0.991,0.996,0.991,0.996,0.991,0.991,0.991,0.291,0.288,0.291,0.994,"tree_no_boost"
"Class: CHF8",0.967,0.968,0.897,0.99,0.897,0.967,0.93,0.226,0.218,0.243,0.967,"tree_no_boost"
"Class: NSR8",0.989,1,1,0.997,1,0.989,0.994,0.223,0.221,0.221,0.994,"tree_no_boost"
"Class: AFF9",0.885,0.983,0.948,0.96,0.948,0.885,0.915,0.261,0.231,0.243,0.934,"tree_boost"
"Class: ARR9",1,0.982,0.959,1,0.959,1,0.979,0.291,0.291,0.303,0.991,"tree_boost"
"Class: CHF9",0.956,0.977,0.925,0.987,0.925,0.956,0.94,0.226,0.216,0.233,0.966,"tree_boost"
"Class: NSR9",0.989,1,1,0.997,1,0.989,0.994,0.223,0.221,0.221,0.994,"tree_boost"
"Class: AFF10",0.933,0.997,0.99,0.977,0.99,0.933,0.96,0.261,0.243,0.246,0.965,"random_forest_100"
"Class: ARR10",1,1,1,1,1,1,1,0.291,0.291,0.291,1,"random_forest_100"
"Class: CHF10",0.989,0.977,0.927,0.997,0.927,0.989,0.957,0.226,0.223,0.241,0.983,"random_forest_100"
"Class: NSR10",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"random_forest_100"
"Class: AFF11",0.942,0.997,0.99,0.98,0.99,0.942,0.966,0.261,0.246,0.248,0.969,"random_forest_200"
"Class: ARR11",1,1,1,1,1,1,1,0.291,0.291,0.291,1,"random_forest_200"
"Class: CHF11",0.989,0.981,0.937,0.997,0.937,0.989,0.962,0.226,0.223,0.238,0.985,"random_forest_200"
"Class: NSR11",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"random_forest_200"
"Class: AFF12",0.923,0.983,0.95,0.973,0.95,0.923,0.937,0.261,0.241,0.253,0.953,"neural_net_1_hid"
"Class: ARR12",1,1,1,1,1,1,1,0.291,0.291,0.291,1,"neural_net_1_hid"
"Class: CHF12",0.944,0.974,0.914,0.984,0.914,0.944,0.929,0.226,0.213,0.233,0.959,"neural_net_1_hid"
"Class: NSR12",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"neural_net_1_hid"
"Class: AFF13",0.913,0.993,0.979,0.97,0.979,0.913,0.945,0.261,0.238,0.243,0.953,"neural_net_2_hid"
"Class: ARR13",1,0.996,0.991,1,0.991,1,0.996,0.291,0.291,0.293,0.998,"neural_net_2_hid"
"Class: CHF13",0.978,0.974,0.917,0.993,0.917,0.978,0.946,0.226,0.221,0.241,0.976,"neural_net_2_hid"
"Class: NSR13",1,1,1,1,1,1,1,0.223,0.223,0.223,1,"neural_net_2_hid"
